series,episode,baker_name,first_name,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
2,5,Jason White,Jason,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie,19,Civil Engineering Student,Croydon
2,6,Jason White,Jason,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
2,7,Jason White,Jason,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
2,8,Jason White,Jason,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
2,1,Keith Batsford,Keith,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,31,House husband,"Arlesey, Bedfordshire"
2,2,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,3,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,4,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,5,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,6,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,7,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,8,Keith Batsford,Keith,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
2,1,Mary-Anne Boermans,Mary-Anne,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,45,Housewife,"Kidderminster, Worcestershire"
2,2,Mary-Anne Boermans,Mary-Anne,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,45,Housewife,"Kidderminster, Worcestershire"
2,3,Mary-Anne Boermans,Mary-Anne,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,45,Housewife,"Kidderminster, Worcestershire"
2,4,Mary-Anne Boermans,Mary-Anne,2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,45,Housewife,"Kidderminster, Worcestershire"
